iter	Logloss
0	0.6783117347
1	0.6678631014
2	0.6579215246
3	0.6507149764
4	0.6436100128
5	0.6374952599
6	0.6321331736
7	0.6277244601
8	0.6238541293
9	0.6199921819
10	0.6171000202
11	0.6144280274
12	0.61173055
13	0.6095257773
14	0.6074967882
15	0.6053781691
16	0.6031880677
17	0.6012969625
18	0.5999500383
19	0.5983364351
20	0.5973201571
21	0.5957828129
22	0.5944364892
23	0.5933221185
24	0.5921894242
25	0.5911581178
26	0.5901598753
27	0.5889061183
28	0.5881371438
29	0.5872082921
30	0.5865481081
31	0.5858443221
32	0.5850401254
33	0.5842424478
34	0.5833605483
35	0.5827524029
36	0.5821264165
37	0.5815183189
38	0.5808042348
39	0.5802477546
40	0.5797256095
41	0.5793534801
42	0.5789255306
43	0.5782269551
44	0.5777369887
45	0.5772715955
46	0.5768476478
47	0.5763407273
48	0.5759259714
49	0.5756045461
50	0.5752488802
51	0.5746597168
52	0.5742622936
53	0.5738885744
54	0.5734394875
55	0.572924365
56	0.5725608578
57	0.5722841014
58	0.5717754502
59	0.5712962147
60	0.5709254755
61	0.5706142751
62	0.5703036592
63	0.5698274
64	0.5695485489
65	0.5692301694
66	0.5689098363
67	0.5685995786
68	0.5682072658
69	0.5679482064
70	0.5676981099
71	0.5673320403
72	0.5670972032
73	0.566822467
74	0.5665002348
75	0.5662472997
76	0.5660035013
77	0.5657990351
78	0.5654749533
79	0.5652664725
80	0.5649475367
81	0.5647073918
82	0.5645003476
83	0.5642491358
84	0.5640179665
85	0.5637337955
86	0.5635650341
87	0.5633919356
88	0.5630940049
89	0.5629613182
90	0.5627476223
91	0.5625197211
92	0.5622520265
93	0.562050791
94	0.561910217
95	0.5616764145
96	0.5614062536
97	0.5611889081
98	0.5609970821
99	0.5607719774
100	0.5604998254
101	0.560359701
102	0.5601471294
103	0.5598839554
104	0.5596403029
105	0.5594075847
106	0.559203887
107	0.5589772853
108	0.5587039885
109	0.5585215936
110	0.5583106019
